Student_ID,Programme,Entry_Level,Entry_Year,Total_Credits,Year_3_GPA,Year_4_GPA,Final_GPA,Degree_Classification,Graduation_Date,Graduation_Status
10000021,Business Management,1,2017/18,360,9.02,10.45,9.73,Third Class Honours,2021-06-30,Graduated
10000022,Business Management,3,2017/18,120,9.55,10.47,10.01,Third Class Honours,2019-06-30,Graduated
10000023,Business Management,2,2017/18,240,10.55,14.77,12.66,Lower Second Class Honours,2020-06-30,Graduated
10000024,Business Management,1,2017/18,360,15.97,15.48,15.73,Upper Second Class Honours,2021-06-30,Graduated
10000025,Business Management,2,2017/18,240,4.23,3.9,4.07,Fail,2020-06-30,Deferred
10000026,Business Management,1,2017/18,360,15.12,14.38,14.75,Borderline 2.2/2.1,2021-06-30,Graduated
10000027,Business Management,1,2017/18,360,20.39,20.43,20.41,First Class Honours,2021-06-30,Graduated
10000028,Business Management,1,2017/18,360,20.36,20.22,20.29,First Class Honours,2021-06-30,Graduated
10000029,Business Management,1,2017/18,360,11.6,11.55,11.57,Borderline 3rd/2.2,2021-06-30,Graduated
10000030,Business Management,1,2017/18,360,10.79,10.32,10.55,Third Class Honours,2021-06-30,Graduated
10000031,Business Management,1,2017/18,360,11.56,7.45,9.5,Third Class Honours,2021-06-30,Pending
10000032,Business Management,1,2017/18,360,12.61,10.66,11.63,Borderline 3rd/2.2,2021-06-30,Graduated
10000033,Business Management,1,2017/18,360,8.66,10.03,9.35,Third Class Honours,2021-06-30,Pending
10000035,Business Management,1,2017/18,360,11.69,14.73,13.21,Lower Second Class Honours,2021-06-30,Graduated
10000036,Business Management,1,2017/18,360,11.99,11.66,11.82,Borderline 3rd/2.2,2021-06-30,Graduated
10000037,Business Management,1,2017/18,360,9.29,11.1,10.19,Third Class Honours,2021-06-30,Graduated
10000038,Business Management,1,2017/18,360,11.03,12.0,11.51,Borderline 3rd/2.2,2021-06-30,Graduated
10000039,Business Management,1,2017/18,360,6.27,3.58,4.93,Fail,2021-06-30,Deferred
10000040,Business Management,2,2017/18,240,10.34,11.97,11.15,Third Class Honours,2020-06-30,Graduated
10000041,Business Management,1,2017/18,360,10.83,11.49,11.16,Third Class Honours,2021-06-30,Graduated
10000042,Business Management,2,2017/18,240,19.46,20.34,19.9,First Class Honours,2020-06-30,Graduated
10000043,Business Management,1,2017/18,360,10.71,14.48,12.59,Lower Second Class Honours,2021-06-30,Graduated
10000044,Business Management,1,2017/18,360,11.53,14.86,13.19,Lower Second Class Honours,2021-06-30,Graduated
10000045,Business Management,1,2017/18,360,19.65,19.83,19.74,First Class Honours,2021-06-30,Graduated
10000046,Business Management,1,2017/18,360,15.64,14.93,15.28,Upper Second Class Honours,2021-06-30,Graduated
10000047,Business Management,2,2017/18,240,19.93,20.17,20.05,First Class Honours,2020-06-30,Graduated
10000048,Business Management,1,2017/18,360,15.59,14.83,15.21,Upper Second Class Honours,2021-06-30,Graduated
10000049,Business Management,1,2017/18,360,8.08,10.17,9.12,Third Class Honours,2021-06-30,Pending
10000050,Business Management,1,2017/18,360,15.32,14.07,14.7,Borderline 2.2/2.1,2021-06-30,Graduated
10000051,Business Management,1,2017/18,360,15.49,15.68,15.58,Upper Second Class Honours,2021-06-30,Graduated
10000052,Business Management,1,2017/18,360,11.68,15.47,13.58,Lower Second Class Honours,2021-06-30,Graduated
10000053,Business Management,1,2017/18,360,11.75,15.96,13.86,Lower Second Class Honours,2021-06-30,Graduated
10000055,Business Management,1,2017/18,360,10.69,10.39,10.54,Third Class Honours,2021-06-30,Graduated
10000056,Business Management,1,2017/18,360,10.41,11.41,10.91,Third Class Honours,2021-06-30,Graduated
10000057,Business Management,1,2017/18,360,14.74,15.48,15.11,Upper Second Class Honours,2021-06-30,Graduated
10000058,Business Management,1,2017/18,360,10.05,10.71,10.38,Third Class Honours,2021-06-30,Graduated
10000059,Business Management,1,2017/18,360,14.8,11.34,13.07,Lower Second Class Honours,2021-06-30,Pending
10000060,Business Management,1,2017/18,360,14.89,15.35,15.12,Upper Second Class Honours,2021-06-30,Graduated
10000062,Business Management,1,2017/18,360,10.46,10.8,10.63,Third Class Honours,2021-06-30,Graduated
10000063,Business Management,2,2017/18,240,11.9,11.98,11.94,Borderline 3rd/2.2,2020-06-30,Graduated
10000064,Business Management,1,2017/18,360,9.96,11.86,10.91,Third Class Honours,2021-06-30,Graduated
10000065,Business Management,1,2017/18,360,7.52,10.73,9.13,Third Class Honours,2021-06-30,Pending
10000066,Business Management,1,2017/18,360,10.54,9.58,10.06,Third Class Honours,2021-06-30,Graduated
10000067,Business Management,1,2017/18,360,13.86,15.45,14.65,Borderline 2.2/2.1,2021-06-30,Graduated
10000068,Business Management,1,2017/18,360,19.82,20.66,20.24,First Class Honours,2021-06-30,Graduated
10000069,Business Management,1,2017/18,360,14.76,15.44,15.1,Upper Second Class Honours,2021-06-30,Graduated
10000071,Business Management,2,2017/18,240,15.49,10.94,13.21,Lower Second Class Honours,2020-06-30,Pending
10000072,Business Management,1,2017/18,360,5.48,4.65,5.06,Fail,2021-06-30,Deferred
10000074,Business Management,1,2017/18,360,15.01,14.5,14.75,Borderline 2.2/2.1,2021-06-30,Graduated
10000075,Business Management,1,2017/18,360,11.11,10.75,10.93,Third Class Honours,2021-06-30,Graduated
10000076,Business Management,3,2017/18,120,15.32,15.56,15.44,Upper Second Class Honours,2019-06-30,Graduated
10000077,Business Management,2,2017/18,240,5.44,5.79,5.61,Fail,2020-06-30,Deferred
10000078,Business Management,1,2017/18,360,14.45,15.57,15.01,Upper Second Class Honours,2021-06-30,Graduated
10000079,Business Management,1,2017/18,360,15.66,15.44,15.55,Upper Second Class Honours,2021-06-30,Graduated
10000080,Business Management,1,2017/18,360,14.64,15.41,15.02,Upper Second Class Honours,2021-06-30,Graduated
10000113,Accountancy & Finance,1,2018/19,360,11.18,9.83,10.51,Third Class Honours,2022-06-30,Graduated
10000114,Accountancy & Finance,1,2018/19,360,15.28,15.06,15.17,Upper Second Class Honours,2022-06-30,Graduated
10000115,Accountancy & Finance,3,2018/19,120,10.54,10.5,10.52,Third Class Honours,2020-06-30,Graduated
10000116,Accountancy & Finance,2,2018/19,240,6.18,7.01,6.59,Fail,2021-06-30,Deferred
10000117,Accountancy & Finance,1,2018/19,360,15.08,14.67,14.88,Borderline 2.2/2.1,2022-06-30,Graduated
10000118,Accountancy & Finance,1,2018/19,360,14.64,15.85,15.24,Upper Second Class Honours,2022-06-30,Graduated
10000119,Accountancy & Finance,3,2018/19,120,6.86,4.35,5.6,Fail,2020-06-30,Deferred
10000120,Accountancy & Finance,1,2018/19,360,10.71,8.49,9.6,Third Class Honours,2022-06-30,Pending
10000121,Accountancy & Finance,1,2018/19,360,20.44,19.89,20.16,First Class Honours,2022-06-30,Graduated
10000122,Accountancy & Finance,1,2018/19,360,15.21,20.03,17.62,Borderline 2.1/1st,2022-06-30,Graduated
10000123,Accountancy & Finance,2,2018/19,240,20.2,20.13,20.17,First Class Honours,2021-06-30,Graduated
10000124,Accountancy & Finance,1,2018/19,360,11.46,11.7,11.58,Borderline 3rd/2.2,2022-06-30,Graduated
10000125,Accountancy & Finance,2,2018/19,240,12.01,10.48,11.25,Third Class Honours,2021-06-30,Graduated
10000126,Accountancy & Finance,2,2018/19,240,15.49,13.33,14.41,Lower Second Class Honours,2021-06-30,Pending
10000127,Accountancy & Finance,1,2018/19,360,19.64,20.3,19.97,First Class Honours,2022-06-30,Graduated
10000128,Accountancy & Finance,2,2018/19,240,13.77,15.36,14.56,Borderline 2.2/2.1,2021-06-30,Graduated
10000129,Accountancy & Finance,1,2018/19,360,6.98,6.13,6.56,Fail,2022-06-30,Deferred
10000130,Accountancy & Finance,1,2018/19,360,10.44,10.79,10.61,Third Class Honours,2022-06-30,Graduated
10000131,Accountancy & Finance,1,2018/19,360,7.23,5.33,6.28,Fail,2022-06-30,Deferred
10000132,Accountancy & Finance,1,2018/19,360,3.73,5.89,4.81,Fail,2022-06-30,Deferred
10000133,Accountancy & Finance,2,2018/19,240,19.98,20.13,20.05,First Class Honours,2021-06-30,Graduated
10000134,Accountancy & Finance,1,2018/19,360,11.44,11.62,11.53,Borderline 3rd/2.2,2022-06-30,Graduated
10000135,Accountancy & Finance,1,2018/19,360,12.31,10.72,11.51,Borderline 3rd/2.2,2022-06-30,Graduated
10000136,Accountancy & Finance,1,2018/19,360,11.63,10.24,10.93,Third Class Honours,2022-06-30,Graduated
10000137,Accountancy & Finance,1,2018/19,360,14.29,14.18,14.23,Lower Second Class Honours,2022-06-30,Graduated
10000138,Accountancy & Finance,1,2018/19,360,9.63,9.49,9.56,Third Class Honours,2022-06-30,Pending
10000139,Accountancy & Finance,2,2018/19,240,19.6,15.5,17.55,Borderline 2.1/1st,2021-06-30,Pending
10000140,Accountancy & Finance,1,2018/19,360,14.82,13.96,14.39,Lower Second Class Honours,2022-06-30,Graduated
10000141,Accountancy & Finance,1,2018/19,360,14.99,15.7,15.34,Upper Second Class Honours,2022-06-30,Graduated
10000142,Accountancy & Finance,1,2018/19,360,5.49,6.82,6.15,Fail,2022-06-30,Deferred
10000143,Accountancy & Finance,2,2018/19,240,5.16,4.69,4.92,Fail,2021-06-30,Deferred
10000144,Accountancy & Finance,1,2018/19,360,14.76,14.63,14.7,Borderline 2.2/2.1,2022-06-30,Graduated
10000145,Accountancy & Finance,1,2018/19,360,10.68,11.19,10.94,Third Class Honours,2022-06-30,Graduated
10000146,Accountancy & Finance,1,2018/19,360,14.81,14.56,14.69,Borderline 2.2/2.1,2022-06-30,Graduated
10000148,Accountancy & Finance,1,2018/19,360,6.95,7.37,7.16,Fail,2022-06-30,Deferred
10000149,Accountancy & Finance,1,2018/19,360,15.2,15.01,15.1,Upper Second Class Honours,2022-06-30,Graduated
10000150,Accountancy & Finance,2,2018/19,240,9.78,11.82,10.8,Third Class Honours,2021-06-30,Graduated
10000151,Accountancy & Finance,1,2018/19,360,9.75,9.96,9.85,Third Class Honours,2022-06-30,Graduated
10000152,Accountancy & Finance,2,2018/19,240,15.11,14.52,14.82,Borderline 2.2/2.1,2021-06-30,Graduated
10000153,Accountancy & Finance,1,2018/19,360,12.11,11.75,11.93,Borderline 3rd/2.2,2022-06-30,Graduated
10000154,Accountancy & Finance,1,2018/19,360,11.19,11.91,11.55,Borderline 3rd/2.2,2022-06-30,Graduated
10000155,Accountancy & Finance,1,2018/19,360,9.97,10.56,10.27,Third Class Honours,2022-06-30,Graduated
10000156,Accountancy & Finance,1,2018/19,360,10.71,9.77,10.24,Third Class Honours,2022-06-30,Pending
10000157,Accountancy & Finance,3,2018/19,120,18.16,15.66,16.91,Upper Second Class Honours,2020-06-30,Pending
10000159,Accountancy & Finance,1,2018/19,360,19.96,19.69,19.83,First Class Honours,2022-06-30,Graduated
10000160,Accountancy & Finance,1,2018/19,360,5.42,6.52,5.97,Fail,2022-06-30,Deferred
10000161,Accountancy & Finance,1,2018/19,360,5.54,4.42,4.98,Fail,2022-06-30,Deferred
10000162,Accountancy & Finance,1,2018/19,360,10.51,12.4,11.46,Third Class Honours,2022-06-30,Graduated
10000163,Accountancy & Finance,1,2018/19,360,15.63,15.57,15.6,Upper Second Class Honours,2022-06-30,Graduated
10000164,Accountancy & Finance,1,2018/19,360,17.51,20.47,18.99,First Class Honours,2022-06-30,Graduated
10000165,Accountancy & Finance,1,2018/19,360,5.78,4.05,4.91,Fail,2022-06-30,Deferred
10000166,Accountancy & Finance,1,2018/19,360,5.46,6.36,5.91,Fail,2022-06-30,Deferred
10000168,Accountancy & Finance,1,2018/19,360,14.98,15.61,15.3,Upper Second Class Honours,2022-06-30,Graduated
10000169,Accountancy & Finance,2,2018/19,240,19.73,19.9,19.82,First Class Honours,2021-06-30,Graduated
10000170,Accountancy & Finance,1,2018/19,360,10.94,11.27,11.1,Third Class Honours,2022-06-30,Graduated
10000171,Accountancy & Finance,1,2018/19,360,11.29,11.11,11.2,Third Class Honours,2022-06-30,Graduated
10000172,Accountancy & Finance,1,2018/19,360,19.18,15.66,17.42,Upper Second Class Honours,2022-06-30,Pending
10000173,Accountancy & Finance,1,2018/19,360,10.98,14.17,12.57,Lower Second Class Honours,2022-06-30,Graduated
10000174,Accountancy & Finance,1,2018/19,360,11.43,8.94,10.18,Third Class Honours,2022-06-30,Pending
10000175,Accountancy & Finance,1,2018/19,360,15.61,16.42,16.01,Upper Second Class Honours,2022-06-30,Graduated
10000176,Accountancy & Finance,1,2018/19,360,4.0,7.08,5.54,Fail,2022-06-30,Deferred
10000177,Accountancy & Finance,1,2018/19,360,15.5,15.51,15.5,Upper Second Class Honours,2022-06-30,Graduated
10000178,Accountancy & Finance,1,2018/19,360,14.81,15.59,15.2,Upper Second Class Honours,2022-06-30,Graduated
10000179,Accountancy & Finance,1,2018/19,360,12.41,10.63,11.52,Borderline 3rd/2.2,2022-06-30,Graduated
10000181,Accountancy & Finance,1,2018/19,360,13.5,15.01,14.26,Lower Second Class Honours,2022-06-30,Graduated
10000182,Accountancy & Finance,2,2018/19,240,14.41,14.75,14.58,Borderline 2.2/2.1,2021-06-30,Graduated
10000183,Accountancy & Finance,1,2018/19,360,4.78,4.47,4.63,Fail,2022-06-30,Deferred
10000184,Accountancy & Finance,1,2018/19,360,11.69,10.52,11.1,Third Class Honours,2022-06-30,Graduated
10000185,Business Management,1,2018/19,360,14.47,15.43,14.95,Borderline 2.2/2.1,2022-06-30,Graduated
10000186,Business Management,1,2018/19,360,11.42,10.01,10.71,Third Class Honours,2022-06-30,Graduated
10000187,Business Management,2,2018/19,240,20.25,19.56,19.9,First Class Honours,2021-06-30,Graduated
10000188,Business Management,1,2018/19,360,13.66,15.56,14.61,Borderline 2.2/2.1,2022-06-30,Graduated
10000189,Business Management,1,2018/19,360,14.93,14.84,14.89,Borderline 2.2/2.1,2022-06-30,Graduated
10000190,Business Management,1,2018/19,360,12.69,9.95,11.32,Third Class Honours,2022-06-30,Graduated
10000191,Business Management,1,2018/19,360,10.84,15.04,12.94,Lower Second Class Honours,2022-06-30,Graduated
10000192,Business Management,1,2018/19,360,15.32,15.25,15.29,Upper Second Class Honours,2022-06-30,Graduated
10000193,Business Management,1,2018/19,360,20.23,20.11,20.17,First Class Honours,2022-06-30,Graduated
10000194,Business Management,1,2018/19,360,12.3,11.72,12.01,Lower Second Class Honours,2022-06-30,Graduated
10000195,Business Management,1,2018/19,360,16.05,15.25,15.65,Upper Second Class Honours,2022-06-30,Graduated
10000196,Business Management,1,2018/19,360,3.85,4.98,4.42,Fail,2022-06-30,Deferred
10000197,Business Management,1,2018/19,360,5.87,6.2,6.04,Fail,2022-06-30,Deferred
10000199,Business Management,1,2018/19,360,12.17,14.22,13.2,Lower Second Class Honours,2022-06-30,Graduated
10000200,Business Management,1,2018/19,360,10.58,10.38,10.48,Third Class Honours,2022-06-30,Graduated
10000201,Business Management,1,2018/19,360,7.3,14.15,10.73,Third Class Honours,2022-06-30,Graduated
10000202,Business Management,1,2018/19,360,20.17,19.96,20.06,First Class Honours,2022-06-30,Graduated
10000203,Business Management,1,2018/19,360,3.67,5.56,4.62,Fail,2022-06-30,Deferred
10000204,Business Management,1,2018/19,360,11.75,9.85,10.8,Third Class Honours,2022-06-30,Graduated
10000205,Business Management,2,2018/19,240,10.86,14.92,12.89,Lower Second Class Honours,2021-06-30,Graduated
10000206,Business Management,1,2018/19,360,10.02,9.79,9.91,Third Class Honours,2022-06-30,Graduated
10000207,Business Management,1,2018/19,360,11.05,12.22,11.63,Borderline 3rd/2.2,2022-06-30,Graduated
10000208,Business Management,2,2018/19,240,14.32,15.18,14.75,Borderline 2.2/2.1,2021-06-30,Graduated
10000209,Business Management,1,2018/19,360,19.93,19.83,19.88,First Class Honours,2022-06-30,Graduated
10000210,Business Management,1,2018/19,360,14.93,15.05,14.99,Borderline 2.2/2.1,2022-06-30,Graduated
10000211,Business Management,1,2018/19,360,15.01,10.74,12.87,Lower Second Class Honours,2022-06-30,Pending
10000212,Business Management,1,2018/19,360,16.94,14.62,15.78,Upper Second Class Honours,2022-06-30,Graduated
10000213,Business Management,1,2018/19,360,11.19,9.04,10.12,Third Class Honours,2022-06-30,Graduated
10000214,Business Management,1,2018/19,360,12.21,11.71,11.96,Borderline 3rd/2.2,2022-06-30,Graduated
10000215,Business Management,1,2018/19,360,6.79,7.36,7.07,Fail,2022-06-30,Deferred
10000217,Business Management,1,2018/19,360,14.8,15.48,15.14,Upper Second Class Honours,2022-06-30,Graduated
10000218,Business Management,1,2018/19,360,15.99,15.09,15.54,Upper Second Class Honours,2022-06-30,Graduated
10000219,Business Management,1,2018/19,360,5.71,6.01,5.86,Fail,2022-06-30,Deferred
10000220,Business Management,3,2018/19,120,14.74,15.29,15.02,Upper Second Class Honours,2020-06-30,Graduated
10000221,Business Management,1,2018/19,360,14.17,15.35,14.76,Borderline 2.2/2.1,2022-06-30,Graduated
10000222,Business Management,1,2018/19,360,13.97,15.0,14.48,Lower Second Class Honours,2022-06-30,Graduated
10000223,Business Management,1,2018/19,360,14.72,14.77,14.75,Borderline 2.2/2.1,2022-06-30,Graduated
10000224,Business Management,1,2018/19,360,15.29,14.86,15.07,Upper Second Class Honours,2022-06-30,Graduated
10000226,Business Management,1,2018/19,360,5.01,6.3,5.65,Fail,2022-06-30,Deferred
10000227,Business Management,1,2018/19,360,14.35,15.36,14.85,Borderline 2.2/2.1,2022-06-30,Graduated
10000228,Business Management,1,2018/19,360,4.92,6.23,5.57,Fail,2022-06-30,Deferred
10000229,Business Management,1,2018/19,360,10.35,11.67,11.01,Third Class Honours,2022-06-30,Graduated
10000230,Business Management,2,2018/19,240,19.79,20.31,20.05,First Class Honours,2021-06-30,Graduated
10000231,Business Management,2,2018/19,240,7.05,5.29,6.17,Fail,2021-06-30,Deferred
10000233,Business Management,1,2018/19,360,6.69,5.84,6.27,Fail,2022-06-30,Deferred
10000234,Business Management,3,2018/19,120,3.33,7.21,5.27,Fail,2020-06-30,Deferred
10000235,Business Management,3,2018/19,120,10.45,9.86,10.15,Third Class Honours,2020-06-30,Graduated
10000236,Business Management,1,2018/19,360,14.23,15.24,14.73,Borderline 2.2/2.1,2022-06-30,Graduated
10000237,Business Management,1,2018/19,360,14.89,13.74,14.31,Lower Second Class Honours,2022-06-30,Graduated
10000238,Business Management,2,2018/19,240,14.83,15.68,15.26,Upper Second Class Honours,2021-06-30,Graduated
10000239,Business Management,1,2018/19,360,14.3,15.2,14.75,Borderline 2.2/2.1,2022-06-30,Graduated
10000240,Business Management,1,2018/19,360,19.66,19.64,19.65,First Class Honours,2022-06-30,Graduated
10000241,Business Management,1,2018/19,360,15.47,15.62,15.55,Upper Second Class Honours,2022-06-30,Graduated
10000242,Business Management,1,2018/19,360,4.97,7.14,6.06,Fail,2022-06-30,Deferred
10000243,Business Management,1,2018/19,360,11.72,15.6,13.66,Lower Second Class Honours,2022-06-30,Graduated
10000244,Business Management,1,2018/19,360,11.25,12.8,12.02,Lower Second Class Honours,2022-06-30,Graduated
10000245,Business Management,1,2018/19,360,15.09,15.01,15.05,Upper Second Class Honours,2022-06-30,Graduated
10000246,Business Management,1,2018/19,360,15.78,15.98,15.88,Upper Second Class Honours,2022-06-30,Graduated
10000247,Business Management,1,2018/19,360,6.81,4.72,5.76,Fail,2022-06-30,Deferred
10000248,Business Management,2,2018/19,240,6.76,6.29,6.53,Fail,2021-06-30,Deferred
10000249,Business Management,1,2018/19,360,9.48,11.69,10.59,Third Class Honours,2022-06-30,Graduated
10000251,Business Management,1,2018/19,360,15.35,14.74,15.05,Upper Second Class Honours,2022-06-30,Graduated
10000252,Business Management,1,2018/19,360,15.86,15.34,15.6,Upper Second Class Honours,2022-06-30,Graduated
10000253,Business Management,1,2018/19,360,6.87,6.48,6.67,Fail,2022-06-30,Deferred
10000254,Business Management,1,2018/19,360,9.84,9.9,9.87,Third Class Honours,2022-06-30,Graduated
10000255,Business Management,2,2018/19,240,10.61,10.51,10.56,Third Class Honours,2021-06-30,Graduated
10000256,Business Management,1,2018/19,360,10.32,7.12,8.72,Borderline Fail/3rd,2022-06-30,Pending
10000257,Business Management,1,2018/19,360,19.83,20.41,20.12,First Class Honours,2022-06-30,Graduated
10000258,Business Management,1,2018/19,360,9.95,12.07,11.01,Third Class Honours,2022-06-30,Graduated
10000259,Business Management,1,2018/19,360,10.12,10.14,10.13,Third Class Honours,2022-06-30,Graduated
10000260,Business Management,1,2018/19,360,3.12,6.19,4.66,Fail,2022-06-30,Deferred
10000261,Business Management,2,2018/19,240,14.0,14.98,14.49,Lower Second Class Honours,2021-06-30,Graduated
10000262,Business Management,1,2018/19,360,5.3,4.05,4.68,Fail,2022-06-30,Deferred
10000263,Business Management,1,2018/19,360,19.82,19.58,19.7,First Class Honours,2022-06-30,Graduated
10000264,Business Management,1,2018/19,360,15.32,11.38,13.36,Lower Second Class Honours,2022-06-30,Pending
10000265,Business Management,1,2018/19,360,11.4,10.64,11.02,Third Class Honours,2022-06-30,Graduated
10000267,Business Management,1,2018/19,360,14.6,15.34,14.97,Borderline 2.2/2.1,2022-06-30,Graduated
10000268,Business Management,1,2018/19,360,19.32,19.36,19.34,First Class Honours,2022-06-30,Graduated
10000270,Business Management,1,2018/19,360,14.54,14.39,14.46,Lower Second Class Honours,2022-06-30,Graduated
10000271,Business Management,1,2018/19,360,10.96,4.92,7.94,Fail,2022-06-30,Deferred
10000272,Business Management,3,2018/19,120,10.51,11.34,10.92,Third Class Honours,2020-06-30,Graduated
10000273,Business Management,2,2018/19,240,15.37,15.61,15.49,Upper Second Class Honours,2021-06-30,Graduated
10000274,Business Management,2,2018/19,240,11.34,10.07,10.7,Third Class Honours,2021-06-30,Graduated
10000276,Business Management,1,2018/19,360,3.1,5.97,4.53,Fail,2022-06-30,Deferred
10000277,Business Management,1,2018/19,360,10.73,14.52,12.63,Lower Second Class Honours,2022-06-30,Graduated
10000278,Business Management,1,2018/19,360,10.72,12.4,11.56,Borderline 3rd/2.2,2022-06-30,Graduated
10000279,Business Management,1,2018/19,360,11.26,14.91,13.08,Lower Second Class Honours,2022-06-30,Graduated
10000280,Business Management,1,2018/19,360,14.32,15.21,14.77,Borderline 2.2/2.1,2022-06-30,Graduated
10000281,Business Management,1,2018/19,360,11.86,7.96,9.91,Third Class Honours,2022-06-30,Pending
10000282,Business Management,1,2018/19,360,14.83,15.44,15.13,Upper Second Class Honours,2022-06-30,Graduated
10000283,Business Management,1,2018/19,360,14.52,14.64,14.58,Borderline 2.2/2.1,2022-06-30,Graduated
10000284,Business Management,1,2018/19,360,10.21,8.59,9.39,Third Class Honours,2022-06-30,Pending
10000285,Business Management,1,2018/19,360,15.64,19.84,17.74,Borderline 2.1/1st,2022-06-30,Graduated
10000286,Business Management,1,2018/19,360,15.5,16.61,16.05,Upper Second Class Honours,2022-06-30,Graduated
10000287,Business Management,1,2018/19,360,6.91,4.33,5.62,Fail,2022-06-30,Deferred
10000289,Business Management,1,2018/19,360,20.46,19.27,19.87,First Class Honours,2022-06-30,Graduated
10000290,Business Management,1,2018/19,360,14.71,15.47,15.09,Upper Second Class Honours,2022-06-30,Graduated
10000291,Business Management,1,2018/19,360,15.11,15.19,15.15,Upper Second Class Honours,2022-06-30,Graduated
10000292,Business Management,1,2018/19,360,6.21,7.17,6.69,Fail,2022-06-30,Deferred
10000293,Business Management,1,2018/19,360,6.03,5.01,5.52,Fail,2022-06-30,Deferred
10000294,Business Management,1,2018/19,360,3.56,4.47,4.01,Fail,2022-06-30,Deferred
10000295,Business Management,1,2018/19,360,10.86,15.11,12.98,Lower Second Class Honours,2022-06-30,Graduated
10000296,Business Management,1,2018/19,360,14.93,15.7,15.31,Upper Second Class Honours,2022-06-30,Graduated
10000297,Business Management,1,2018/19,360,9.64,11.21,10.43,Third Class Honours,2022-06-30,Graduated
10000298,Business Management,3,2018/19,120,11.59,8.3,9.95,Third Class Honours,2020-06-30,Pending
10000299,Business Management,1,2018/19,360,10.41,11.26,10.83,Third Class Honours,2022-06-30,Graduated
10000300,Business Management,1,2018/19,360,3.71,5.27,4.49,Fail,2022-06-30,Deferred
10000301,Business Management,1,2018/19,360,11.32,11.47,11.4,Third Class Honours,2022-06-30,Graduated
10000302,Business Management,1,2018/19,360,15.1,20.02,17.56,Borderline 2.1/1st,2022-06-30,Graduated
10000303,Business Management,2,2018/19,240,11.29,9.82,10.55,Third Class Honours,2021-06-30,Graduated
10000304,Business Management,2,2018/19,240,14.37,15.34,14.86,Borderline 2.2/2.1,2021-06-30,Graduated
10000305,Business Management,1,2018/19,360,10.27,8.92,9.59,Third Class Honours,2022-06-30,Pending
10000306,Business Management,1,2018/19,360,3.69,6.14,4.92,Fail,2022-06-30,Deferred
10000307,Business Management,2,2018/19,240,15.01,20.45,17.73,Borderline 2.1/1st,2021-06-30,Graduated
10000308,Business Management,1,2018/19,360,19.76,20.59,20.18,First Class Honours,2022-06-30,Graduated
10000309,Business Management,1,2018/19,360,19.75,19.88,19.82,First Class Honours,2022-06-30,Graduated
10000310,Business Management,1,2018/19,360,9.7,10.69,10.2,Third Class Honours,2022-06-30,Graduated
10000311,Business Management,1,2018/19,360,13.79,14.93,14.36,Lower Second Class Honours,2022-06-30,Graduated
10000312,Business Management,1,2018/19,360,10.65,10.97,10.81,Third Class Honours,2022-06-30,Graduated
10000314,Business Management,2,2018/19,240,15.35,14.31,14.83,Borderline 2.2/2.1,2021-06-30,Graduated
10000315,Business Management,1,2018/19,360,11.62,10.03,10.83,Third Class Honours,2022-06-30,Graduated
10000316,Business Management,3,2018/19,120,15.19,15.21,15.2,Upper Second Class Honours,2020-06-30,Graduated
