Academic_Year,Semester,Course_Code,Student_ID,Course_Grade_Point,Overall_Grade,Warning
2017-18,Sem1,GS1001,10000058,11.46,D1,
2017-18,Sem1,GS1001,10000059,16.89,B2,
2017-18,Sem1,GS1001,10000060,15.79,B3,
2017-18,Sem1,GS1001,10000061,4.93,F2,
2017-18,Sem1,GS1001,10000062,12.66,C3,
2017-18,Sem1,GS1001,10000064,10.54,D2,
2017-18,Sem1,GS1001,10000065,10.81,D2,
2017-18,Sem1,GS1001,10000066,11.96,D1,
2017-18,Sem1,GS1001,10000067,16.99,B2,
2017-18,Sem1,GS1001,10000068,20.38,A3,
2017-18,Sem1,GS1001,10000069,15.25,B3,
2017-18,Sem1,GS1001,10000072,6.89,E3,
2017-18,Sem1,GS1001,10000073,7.88,E2,
2017-18,Sem1,GS1001,10000074,14.83,C1,
2017-18,Sem1,GS1001,10000075,12.75,C3,
2017-18,Sem1,GS1001,10000078,15.5,B3,
2017-18,Sem1,GS1001,10000079,13.64,C2,
2017-18,Sem1,GS1001,10000080,13.99,C2,
2017-18,Sem1,GS1002,10000001,9.57,D3,
2017-18,Sem1,GS1002,10000002,19.95,A4,
2017-18,Sem1,GS1002,10000003,15.68,B3,
2017-18,Sem1,GS1002,10000004,14.34,C1,
2017-18,Sem1,GS1002,10000005,8.27,E1,
2017-18,Sem1,GS1002,10000007,4.16,F2,
2017-18,Sem1,GS1002,10000009,14.85,C1,
2017-18,Sem1,GS1002,10000010,20.2,A3,
2017-18,Sem1,GS1002,10000012,9.18,D3,
2017-18,Sem1,GS1002,10000013,19.96,A4,
2017-18,Sem1,GS1002,10000015,10.18,D2,
2017-18,Sem1,GS1002,10000016,11.91,D1,
2017-18,Sem1,GS1002,10000017,15.64,B3,
2017-18,Sem1,GS1002,10000020,20.03,A3,
2017-18,Sem1,GS1002,10000021,13.74,C2,
2017-18,Sem1,GS1002,10000024,13.61,C2,
2017-18,Sem1,GS1002,10000026,16.57,B2,
2017-18,Sem1,GS1002,10000027,20.14,A3,
2017-18,Sem1,GS1002,10000028,20.03,A3,
2017-18,Sem1,GS1002,10000029,13.42,C2,
2017-18,Sem1,GS1002,10000030,10.9,D2,
2017-18,Sem1,GS1002,10000031,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem1,GS1002,10000032,10.78,D2,
2017-18,Sem1,GS1002,10000033,12.37,C3,
2017-18,Sem1,GS1002,10000034,10.23,D2,
2017-18,Sem1,GS1002,10000035,13.85,C2,
2017-18,Sem1,GS1002,10000036,11.17,D1,
2017-18,Sem1,GS1002,10000037,11.23,D1,
2017-18,Sem1,GS1002,10000038,11.65,D1,
2017-18,Sem1,GS1002,10000039,3.0,F3,
2017-18,Sem1,GS1002,10000041,8.59,E1,
2017-18,Sem1,GS1002,10000043,14.55,C1,
2017-18,Sem1,GS1002,10000044,16.13,B2,
2017-18,Sem1,GS1002,10000045,18.71,A5,
2017-18,Sem1,GS1002,10000046,16.11,B2,
2017-18,Sem1,GS1002,10000048,16.21,B2,
2017-18,Sem1,GS1002,10000049,12.94,C3,
2017-18,Sem1,GS1002,10000050,13.89,C2,
2017-18,Sem1,GS1002,10000051,16.85,B2,
2017-18,Sem1,GS1002,10000052,13.39,C2,
2017-18,Sem1,GS1002,10000053,15.17,B3,
2017-18,Sem1,GS1002,10000054,7.51,E2,
2017-18,Sem1,GS1002,10000055,12.13,C3,
2017-18,Sem1,GS1002,10000056,10.75,D2,
2017-18,Sem1,GS1002,10000057,15.07,B3,
2017-18,Sem1,GS1002,10000058,10.81,D2,
2017-18,Sem1,GS1002,10000059,14.61,C1,
2017-18,Sem1,GS1002,10000060,14.05,C1,
2017-18,Sem1,GS1002,10000061,5.89,F1,
2017-18,Sem1,GS1002,10000062,10.46,D2,
2017-18,Sem1,GS1002,10000064,11.85,D1,
2017-18,Sem1,GS1002,10000065,10.84,D2,
2017-18,Sem1,GS1002,10000066,10.23,D2,
2017-18,Sem1,GS1002,10000067,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem1,GS1002,10000068,20.51,A3,
2017-18,Sem1,GS1002,10000069,15.08,B3,
2017-18,Sem1,GS1002,10000072,4.91,F2,
2017-18,Sem1,GS1002,10000073,3.64,F3,
2017-18,Sem1,GS1002,10000074,16.9,B2,
2017-18,Sem1,GS1002,10000075,11.22,D1,
2017-18,Sem1,GS1002,10000078,15.98,B3,
2017-18,Sem1,GS1002,10000079,13.7,C2,
2017-18,Sem1,GS1002,10000080,13.62,C2,
2017-18,Sem2,B1501,10000001,9.44,D3,
2017-18,Sem2,B1501,10000002,21.65,A2,
2017-18,Sem2,B1501,10000003,16.46,B2,
2017-18,Sem2,B1501,10000004,15.47,B3,
2017-18,Sem2,B1501,10000005,11.21,D1,
2017-18,Sem2,B1501,10000007,11.39,D1,
2017-18,Sem2,B1501,10000009,12.29,C3,
2017-18,Sem2,B1501,10000010,20.52,A3,
2017-18,Sem2,B1501,10000012,10.05,D2,
2017-18,Sem2,B1501,10000013,19.87,A4,
2017-18,Sem2,B1501,10000015,11.26,D1,
2017-18,Sem2,B1501,10000016,12.36,C3,
2017-18,Sem2,B1501,10000017,14.68,C1,
2017-18,Sem2,B1501,10000020,18.64,A5,
2017-18,Sem2,B1501,10000021,8.13,E1,
2017-18,Sem2,B1501,10000024,15.11,B3,
2017-18,Sem2,B1501,10000026,17.85,B1,
2017-18,Sem2,B1501,10000027,20.71,A3,
2017-18,Sem2,B1501,10000028,19.22,A4,
2017-18,Sem2,B1501,10000029,10.93,D2,
2017-18,Sem2,B1501,10000030,11.65,D1,
2017-18,Sem2,B1501,10000031,11.36,D1,
2017-18,Sem2,B1501,10000032,8.71,E1,
2017-18,Sem2,B1501,10000033,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1501,10000034,1.4,G1,
2017-18,Sem2,B1501,10000035,17.11,B1,
2017-18,Sem2,B1501,10000036,10.23,D2,
2017-18,Sem2,B1501,10000037,10.18,D2,
2017-18,Sem2,B1501,10000038,9.32,D3,
2017-18,Sem2,B1501,10000039,6.76,E3,
2017-18,Sem2,B1501,10000041,8.88,E1,
2017-18,Sem2,B1501,10000043,15.25,B3,
2017-18,Sem2,B1501,10000044,13.83,C2,
2017-18,Sem2,B1501,10000045,18.59,A5,
2017-18,Sem2,B1501,10000046,17.0,B1,
2017-18,Sem2,B1501,10000048,14.32,C1,
2017-18,Sem2,B1501,10000049,11.01,D1,
2017-18,Sem2,B1501,10000050,14.73,C1,
2017-18,Sem2,B1501,10000051,14.16,C1,
2017-18,Sem2,B1501,10000052,17.23,B1,
2017-18,Sem2,B1501,10000053,13.66,C2,
2017-18,Sem2,B1501,10000054,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1501,10000055,8.16,E1,
2017-18,Sem2,B1501,10000056,11.0,D1,
2017-18,Sem2,B1501,10000057,16.46,B2,
2017-18,Sem2,B1501,10000058,9.16,D3,
2017-18,Sem2,B1501,10000059,13.4,C2,
2017-18,Sem2,B1501,10000060,16.13,B2,
2017-18,Sem2,B1501,10000061,8.2,E1,
2017-18,Sem2,B1501,10000062,10.24,D2,
2017-18,Sem2,B1501,10000064,12.49,C3,
2017-18,Sem2,B1501,10000065,10.58,D2,
2017-18,Sem2,B1501,10000066,9.64,D3,
2017-18,Sem2,B1501,10000067,16.42,B2,
2017-18,Sem2,B1501,10000068,20.02,A3,
2017-18,Sem2,B1501,10000069,15.12,B3,
2017-18,Sem2,B1501,10000072,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1501,10000073,5.29,F1,
2017-18,Sem2,B1501,10000074,16.03,B2,
2017-18,Sem2,B1501,10000075,7.9,E2,
2017-18,Sem2,B1501,10000078,15.41,B3,
2017-18,Sem2,B1501,10000079,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1501,10000080,13.57,C2,
2017-18,Sem2,B1502,10000001,12.72,C3,
2017-18,Sem2,B1502,10000002,19.84,A4,
2017-18,Sem2,B1502,10000003,15.51,B3,
2017-18,Sem2,B1502,10000004,15.84,B3,
2017-18,Sem2,B1502,10000005,12.67,C3,
2017-18,Sem2,B1502,10000007,7.25,E2,
2017-18,Sem2,B1502,10000009,16.61,B2,
2017-18,Sem2,B1502,10000010,19.16,A4,
2017-18,Sem2,B1502,10000012,8.74,E1,
2017-18,Sem2,B1502,10000013,20.95,A3,
2017-18,Sem2,B1502,10000015,12.64,C3,
2017-18,Sem2,B1502,10000016,13.47,C2,
2017-18,Sem2,B1502,10000017,13.58,C2,
2017-18,Sem2,B1502,10000020,19.98,A4,
2017-18,Sem2,B1502,10000021,9.87,D3,
2017-18,Sem2,B1502,10000024,16.68,B2,
2017-18,Sem2,B1502,10000026,14.0,C1,
2017-18,Sem2,B1502,10000027,18.57,A5,
2017-18,Sem2,B1502,10000028,19.36,A4,
2017-18,Sem2,B1502,10000029,11.35,D1,
2017-18,Sem2,B1502,10000030,11.12,D1,
2017-18,Sem2,B1502,10000031,11.48,D1,
2017-18,Sem2,B1502,10000032,9.66,D3,
2017-18,Sem2,B1502,10000033,11.2,D1,
2017-18,Sem2,B1502,10000034,7.18,E2,
2017-18,Sem2,B1502,10000035,17.13,B1,
2017-18,Sem2,B1502,10000036,9.75,D3,
2017-18,Sem2,B1502,10000037,8.24,E1,
2017-18,Sem2,B1502,10000038,11.3,D1,
2017-18,Sem2,B1502,10000039,7.65,E2,
2017-18,Sem2,B1502,10000041,10.2,D2,
2017-18,Sem2,B1502,10000043,15.97,B3,
2017-18,Sem2,B1502,10000044,16.26,B2,
2017-18,Sem2,B1502,10000045,18.93,A5,
2017-18,Sem2,B1502,10000046,15.1,B3,
2017-18,Sem2,B1502,10000048,13.18,C2,
2017-18,Sem2,B1502,10000049,10.55,D2,
2017-18,Sem2,B1502,10000050,15.51,B3,
2017-18,Sem2,B1502,10000051,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1502,10000052,16.82,B2,
2017-18,Sem2,B1502,10000053,15.13,B3,
2017-18,Sem2,B1502,10000054,6.67,E3,
2017-18,Sem2,B1502,10000055,12.13,C3,
2017-18,Sem2,B1502,10000056,11.19,D1,
2017-18,Sem2,B1502,10000057,14.36,C1,
2017-18,Sem2,B1502,10000058,10.26,D2,
2017-18,Sem2,B1502,10000059,14.95,C1,
2017-18,Sem2,B1502,10000060,14.14,C1,
2017-18,Sem2,B1502,10000061,1.5,G1,
2017-18,Sem2,B1502,10000062,11.07,D1,
2017-18,Sem2,B1502,10000064,11.63,D1,
2017-18,Sem2,B1502,10000065,14.09,C1,
2017-18,Sem2,B1502,10000066,12.53,C3,
2017-18,Sem2,B1502,10000067,14.66,C1,
2017-18,Sem2,B1502,10000068,19.22,A4,
2017-18,Sem2,B1502,10000069,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1502,10000072,5.67,F1,
2017-18,Sem2,B1502,10000073,2.24,G1,
2017-18,Sem2,B1502,10000074,16.19,B2,
2017-18,Sem2,B1502,10000075,11.62,D1,
2017-18,Sem2,B1502,10000078,14.06,C1,
2017-18,Sem2,B1502,10000079,14.06,C1,
2017-18,Sem2,B1502,10000080,14.49,C1,
2017-18,Sem2,B1503,10000001,8.76,E1,
2017-18,Sem2,B1503,10000002,20.27,A3,
2017-18,Sem2,B1503,10000003,14.69,C1,
2017-18,Sem2,B1503,10000004,15.05,B3,
2017-18,Sem2,B1503,10000005,12.84,C3,
2017-18,Sem2,B1503,10000007,4.65,F2,
2017-18,Sem2,B1503,10000009,12.27,C3,
2017-18,Sem2,B1503,10000010,21.01,A2,
2017-18,Sem2,B1503,10000012,9.34,D3,
2017-18,Sem2,B1503,10000013,19.97,A4,
2017-18,Sem2,B1503,10000015,12.27,C3,
2017-18,Sem2,B1503,10000016,10.8,D2,
2017-18,Sem2,B1503,10000017,16.32,B2,
2017-18,Sem2,B1503,10000020,19.59,A4,
2017-18,Sem2,B1503,10000021,12.29,C3,
2017-18,Sem2,B1503,10000024,15.04,B3,
2017-18,Sem2,B1503,10000026,14.89,C1,
2017-18,Sem2,B1503,10000027,20.29,A3,
2017-18,Sem2,B1503,10000028,19.96,A4,
2017-18,Sem2,B1503,10000029,9.32,D3,
2017-18,Sem2,B1503,10000030,10.49,D2,
2017-18,Sem2,B1503,10000031,11.21,D1,
2017-18,Sem2,B1503,10000032,14.29,C1,
2017-18,Sem2,B1503,10000033,10.33,D2,
2017-18,Sem2,B1503,10000034,0.84,G2,
2017-18,Sem2,B1503,10000035,16.65,B2,
2017-18,Sem2,B1503,10000036,11.0,D1,
2017-18,Sem2,B1503,10000037,12.73,C3,
2017-18,Sem2,B1503,10000038,9.7,D3,
2017-18,Sem2,B1503,10000039,1.59,G1,
2017-18,Sem2,B1503,10000041,14.06,C1,
2017-18,Sem2,B1503,10000043,14.47,C1,
2017-18,Sem2,B1503,10000044,13.67,C2,
2017-18,Sem2,B1503,10000045,19.76,A4,
2017-18,Sem2,B1503,10000046,15.4,B3,
2017-18,Sem2,B1503,10000048,16.65,B2,
2017-18,Sem2,B1503,10000049,9.67,D3,
2017-18,Sem2,B1503,10000050,16.21,B2,
2017-18,Sem2,B1503,10000051,12.88,C3,
2017-18,Sem2,B1503,10000052,12.58,C3,
2017-18,Sem2,B1503,10000053,16.1,B2,
2017-18,Sem2,B1503,10000054,2.39,G1,
2017-18,Sem2,B1503,10000055,12.39,C3,
2017-18,Sem2,B1503,10000056,10.81,D2,
2017-18,Sem2,B1503,10000057,13.45,C2,
2017-18,Sem2,B1503,10000058,9.27,D3,
2017-18,Sem2,B1503,10000059,14.27,C1,
2017-18,Sem2,B1503,10000060,15.95,B3,
2017-18,Sem2,B1503,10000061,5.3,F1,
2017-18,Sem2,B1503,10000062,10.52,D2,
2017-18,Sem2,B1503,10000064,9.14,D3,
2017-18,Sem2,B1503,10000065,11.38,D1,
2017-18,Sem2,B1503,10000066,10.05,D2,
2017-18,Sem2,B1503,10000067,15.14,B3,
2017-18,Sem2,B1503,10000068,19.38,A4,
2017-18,Sem2,B1503,10000069,15.23,B3,
2017-18,Sem2,B1503,10000072,2.57,G1,
2017-18,Sem2,B1503,10000073,2.79,G1,
2017-18,Sem2,B1503,10000074,14.54,C1,
2017-18,Sem2,B1503,10000075,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem2,B1503,10000078,14.55,C1,
2017-18,Sem2,B1503,10000079,15.87,B3,
2017-18,Sem2,B1503,10000080,15.45,B3,
2017-18,Sem2,B1504,10000001,9.7,D3,
2017-18,Sem2,B1504,10000002,21.17,A2,
2017-18,Sem2,B1504,10000003,14.67,C1,
2017-18,Sem2,B1504,10000004,13.56,C2,
2017-18,Sem2,B1504,10000005,9.68,D3,
2017-18,Sem2,B1504,10000007,5.82,F1,
2017-18,Sem2,B1504,10000009,14.37,C1,
2017-18,Sem2,B1504,10000010,21.79,A2,
2017-18,Sem2,B1504,10000012,13.03,C2,
2017-18,Sem2,B1504,10000013,18.71,A5,
2017-18,Sem2,B1504,10000015,10.81,D2,
2017-18,Sem2,B1504,10000016,11.0,D1,
2017-18,Sem2,B1504,10000017,15.17,B3,
2017-18,Sem2,B1504,10000020,20.01,A3,
2017-18,Sem2,B1504,10000021,10.08,D2,
2017-18,Sem2,B1504,10000024,13.87,C2,
